ID,nb_visits,entry_nb_visits,exit_nb_visits
http://calenda.org/391584,94,55.0,58.0
http://calenda.org/319226,93,91.0,90.0
http://calenda.org/392113,93,45.0,47.0
http://calenda.org/393898,93,45.0,50.0
http://calenda.org/399206,93,33.0,46.0
http://calenda.org/384250,92,41.0,43.0
http://calenda.org/391801,92,63.0,64.0
http://calenda.org/393195,92,41.0,44.0
http://calenda.org/394954,92,41.0,43.0
http://calenda.org/390024,91,15.0,27.0
http://calenda.org/394830,91,41.0,33.0
http://calenda.org/396241,91,26.0,37.0
http://calenda.org/398499,91,35.0,45.0
http://calenda.org/387245,90,52.0,54.0
http://calenda.org/391200,90,66.0,60.0
http://calenda.org/397967,90,21.0,30.0
http://calenda.org/398273,90,40.0,38.0
http://calenda.org/398808,90,47.0,45.0
http://calenda.org/319109,89,89.0,87.0
http://calenda.org/338820,89,89.0,83.0
http://calenda.org/391040,89,38.0,36.0
http://calenda.org/391476,89,56.0,56.0
http://calenda.org/395775,89,42.0,45.0
http://calenda.org/396084,89,58.0,58.0
http://calenda.org/397309,89,41.0,46.0
http://calenda.org/388634,88,25.0,28.0
http://calenda.org/389715,88,30.0,31.0
http://calenda.org/391424,88,36.0,47.0
http://calenda.org/398486,88,15.0,26.0
http://calenda.org/399998,88,27.0,37.0
http://calenda.org/401861,88,54.0,54.0
http://calenda.org/389257,87,42.0,41.0
http://calenda.org/391094,87,21.0,23.0
http://calenda.org/391273,87,24.0,34.0
http://calenda.org/396623,87,27.0,38.0
http://calenda.org/387928,86,42.0,43.0
http://calenda.org/389357,86,72.0,67.0
http://calenda.org/392589,86,38.0,35.0
http://calenda.org/400005,86,26.0,35.0
http://calenda.org/207619,85,84.0,83.0
http://calenda.org/364895,85,82.0,78.0
http://calenda.org/388585,85,22.0,30.0
http://calenda.org/394896,85,28.0,32.0
http://calenda.org/397615,85,40.0,48.0
http://calenda.org/398795,85,26.0,33.0
http://calenda.org/400840,85,20.0,20.0
http://calenda.org/401600,85,56.0,60.0
